no							
yes		App ID	Full Name	Version	 Size 	 Delete 	 Size 2 
		com.the-cocktail.telepizza	 Telepizza	 1.2.1	 6,00   	no	
		es.leafsoft.cineol	 CINeol	 1.0.3	 5,68   	no	
		br.com.masterblaster.ForcaSpanish	 El Mejor Ahorcado	 3.0	 5,55   	no	
		ca.jubilo.ipadflickr	 FlickStackr	 1.8.5	 5,41   	no	
		com.lightroom.godocspro	 GoDocs for iPad/iPhone (Google Docs™ full support)	 2.7.1	 5,33   	no	
		com.tdc.ireversi	 Reversi HD Pro	 1.1	 5,06   	no	
		net.mundue.JawBreaker	 reMovem (free)	53	 5,03   	no	
		3ZQPY867UX.MetroMadrid	 Metro Madrid	 3.3	 4,68   	no	
		com.donutgames.spikeysbouncearound	 Spikey's Bounce Around	 1.13	 4,56   	no	
		com.tweakersoft.AroundMe	 AroundMe	 4.2.1	 3,92   	no	
		com.aol.shoutcast.mobile	 SHOUTcast Radio	 1.3.2.1	 3,73   	no	
		com.experienceon.bliquo	 bliquo	 2.4.1	 3,44   	no	
		es.eltiempo.eltiempo	 Eltiempo.es	 1.3	 3,20   	no	
		ar.com.esquilaxgames.escoba15	 Escoba de 15	 1.2	 3,03   	no	
		com.inmethod.AirVideo	 Air Video - Watch your videos anywhere!	 2.4.8	 2,81   	no	
		com.willflow.ted	 TED Mobile	 1.8	 2,81   	no	
		com.purplegoolabs.antibleh	 anti:bleh	 1.6.4	 2,79   	no	
		ru.nootek.simplegtalk	 GTalk+ (Chat for Google Talk)	 1.4.1	 2,64   	no	
		com.xe.XECurrency	 XE Currency	 1.3.3	 2,43   	no	
		com.softwareandina.ReLiSimpleShoppingLists	 ReLiSimple Listas de Compras	 1.4.2	 1,83   	no	
		com.acorntic.infotrafico.01	 InfoTrafico	 1.3	 1,80   	no	
		com.mobilaria.TuninFMv2	 Tunin.FM iCar Radio Lite	 1.5	 1,72   	no	
		3ZQPY867UX.iCamMadrid	 iCam Madrid	 3.2	 1,67   	no	
		com.mindthefrog.sudoku	 +SUDOKU	 2.2	 1,52   	no	
		dk.mochasoft.rdp	 Remote Desktop - RDP	 2.7	 1,22   	no	
		com.tst.Hit-FM	 Hit FM	 1.2	 0,91   	no	
		com.walkersoftware.iInfo	 iInformation	 1.4	 0,74   	no	
		com.blueonionsoft.flashlightledfree	 True Flashlight 4 Free	 1.1	 0,68   	no	
		com.RecessionApps.System	 System Activity Monitor	 1.3.2	 0,64   	no	
		com.kinevia.MetrO	 MetrO	 0.9.7	 0,47   	no	
		com.tomtom.CarKit	 TomTom car kit tool	 1.0	 0,32   	no	
